instance, nVertices, nEdges, avTime, avMemory, avmaxLenBefore, avmaxDegBefore, avmaxLenAfter, avmaxDegAfter, hvTime, hvMemory, hvmaxLenBefore, hvmaxDegBefore, hvmaxLenAfter, hvmaxDegAfter, lvTime, lvMemory, lvTrials, lvTimeA, lvMemoryA, lvTimeB, lvMemory, lvmaxLenBefore, lvmaxDegBefore, lvmaxLenAfter, lvmaxDegAfter, avfTime, avfMemory, avfmaxLenBefore, avfmaxDegBefore, avfmaxLenAfter, avfmaxDegAfter, hvfTime, hvfMemory, hvfmaxLenBefore, hvfmaxDegBefore, hvfmaxLenAfter, hvfmaxDegAfter, lvfTime, lvfMemory, lvfTrials, lvfTimeA, lvfMemoryA, lvfTimeB, lvfMemory, lvfmaxLenBefore, lvfmaxDegBefore, lvfmaxLenAfter, lvfmaxDegAfter
$K_{5,4}$, 9, 20, oom, oom, oom, oom, oom, oom, 1.146032007, 1868214472, 2, 2, 1068, 9, 0.717573974, 1129965100, 1, 0.002681691, 697664, 0.698119452, 1124471180, 2, 2, 1068, 9, oom, oom, oom, oom, oom, oom, 1.531552172, 2188026724, 2, 2, 1, 1, 1.636894576, 2195532580, 1, 0.002888658, 696592, 1.616533655, 2190039732, 2, 2, 1, 0
$K_{4,5}$, 9, 20, oom, oom, oom, oom, oom, oom, 1.374407277, 1902783084, 2, 2, 480, 8, 0.718039577, 978583200, 1, 0.002978207, 747960, 0.698520912, 973038984, 2, 2, 414, 8, oom, oom, oom, oom, oom, oom, 1.716454947, 2165519948, 2, 2, 1, 2, 1.834656101, 2172246348, 1, 0.003372496, 749296, 1.814162355, 2166700796, 2, 2, 1, 0
$K_{5,5}$, 10, 25, oot, oot, oot, oot, oot, oot, 10.732703654, 11768692816, 2, 2, 4404, 10, 4.776074741, 6727757160, 1, 0.006031214, 1095488, 4.752967004, 6721865416, 2, 2, 2394, 9, oom, oom, oom, oom, oom, oom, 25.826966296, 20723573276, 2, 2, 1, 1, 26.658985775, 20731632052, 1, 0.005319877, 1100912, 26.638755734, 20725734884, 2, 2, 1, 0
$K_{6,2}$, 8, 12, oom, oom, oom, oom, oom, oom, 0.011590931, 14322480, 2, 2, 64, 8, 0.026120697, 7192656, 1, 0.000777248, 375208, 0.010442248, 2021192, n/a, n/a, n/a, n/a, 138.630405621, 73870292672, 2, 2, 2, 2, 0.01800304, 23399080, 2, 2, 1, 0, 0.026204626, 7192584, 1, 0.000781386, 375136, 0.010493214, 2021192, n/a, n/a, n/a, n/a
$K_{2,6}$, 8, 12, oom, oom, oom, oom, oom, oom, 0.024907521, 34018716, 2, 2, 8, 5, 0.029044381, 7251272, 1, 0.001345174, 433824, 0.011192564, 2021192, n/a, n/a, n/a, n/a, 366.086551251, 198838972496, 2, 2, 2, 2, 0.021688764, 34805264, 2, 2, 2, 2, 0.029085998, 7251344, 1, 0.001266887, 433896, 0.011191042, 2021192, n/a, n/a, n/a, n/a
$K_{6,3}$, 9, 18, oom, oom, oom, oom, oom, oom, 0.687694858, 1067454664, 2, 2, 646, 9, 0.46752815, 541387892, 1, 0.00190288, 593672, 0.448112233, 535997964, 2, 2, 646, 9, oom, oom, oom, oom, oom, oom, 0.641429955, 908501340, 2, 2, 1, 1, 0.698341546, 915729748, 1, 0.001880107, 594480, 0.67911927, 910339012, 2, 2, 1, 0
$K_{3,6}$, 9, 18, oom, oom, oom, oom, oom, oom, 0.531810698, 1075019168, 2, 2, 66, 7, 0.286131639, 392004564, 1, 0.003275975, 716512, 0.26415173, 386491796, 2, 2, 36, 6, oom, oom, oom, oom, oom, oom, 0.541984396, 1013392640, 2, 2, 2, 2, 0.574287446, 1020639648, 1, 0.003007111, 713200, 0.555961272, 1015130192, 2, 2, 1, 0
$K_{6,4}$, 10, 24, oot, oot, oot, oot, oot, oot, 9.647297442, 10853964144, 2, 2, 4671, 10, 4.86693409, 6074348720, 1, 0.003856665, 969128, 4.848093289, 6068583336, 2, 2, 4452, 10, oom, oom, oom, oom, oom, oom, 12.677873303, 12995908172, 2, 2, 1, 1, 13.105688185, 13003380420, 1, 0.004006094, 968664, 13.085185577, 12997615500, 2, 2, 1, 0
$K_{4,6}$, 10, 24, oot, oot, oot, oot, oot, oot, 6.982724655, 8118930088, 2, 2, 960, 9, 2.635998781, 3525988568, 1, 0.005586408, 1137304, 2.61573488, 3520055008, 2, 2, 414, 8, oom, oom, oom, oom, oom, oom, 9.852839982, 10304914948, 2, 2, 2, 2, 9.862813601, 10309390724, 1, 0.005632224, 1136824, 9.842493775, 10303457644, 2, 2, 1, 0
$K_{6,5}$, 11, 30, oot, oot, oot, oot, oot, oot, 252.01370531, 197918803052, 2, 2, 24504, 11, 110.4249837, 95069766784, 1, 0.00914685, 1561360, 110.401457885, 95063409168, 2, 2, 24504, 11, oot, oot, oot, oot, oot, oot, oom, oom, oom, oom, oom, oom, oom, oom, oom, oom, oom, oom, oom, oom, oom, oom, oom
