                     instance, dim, nVertices, nFaces, orientable, genus, index, q,      QQLvTime,  QQLvMemory, QQLvTrials,   QQLvTimeA, QQLvMemoryA,     QQLvTimeB,  QQLvMemory, QQLvmaxLenBefore, QQLvmaxDegBefore, QQLvmaxLenAfter, QQLvmaxDegAfter,       F2LvTime,  F2LvMemory, F2LvTrials,   F2LvTimeA, F2LvMemoryA,      F2LvTimeB,  F2LvMemory, F2LvmaxLenBefore, F2LvmaxDegBefore, F2LvmaxLenAfter, F2LvmaxDegAfter,       F4LvTime,  F4LvMemory, F4LvTrials,   F4LvTimeA, F4LvMemoryA,      F4LvTimeB,  F4LvMemory, F4LvmaxLenBefore, F4LvmaxDegBefore, F4LvmaxLenAfter, F4LvmaxDegAfter,      F3LvTime,  F3LvMemory, F3LvTrials,   F3LvTimeA, F3LvMemoryA,     F3LvTimeB,  F3LvMemory, F3LvmaxLenBefore, F3LvmaxDegBefore, F3LvmaxLenAfter, F3LvmaxDegAfter,      F9LvTime,  F9LvMemory, F9LvTrials,   F9LvTimeA, F9LvMemoryA,     F9LvTimeB,  F9LvMemory, F9LvmaxLenBefore, F9LvmaxDegBefore, F9LvmaxLenAfter, F9LvmaxDegAfter,      F5LvTime,  F5LvMemory, F5LvTrials,   F5LvTimeA, F5LvMemoryA,     F5LvTimeB,  F5LvMemory, F5LvmaxLenBefore, F5LvmaxDegBefore, F5LvmaxLenAfter, F5LvmaxDegAfter,     F25LvTime, F25LvMemory, F25LvTrials,  F25LvTimeA, F25LvMemoryA,    F25LvTimeB, F25LvMemory, F25LvmaxLenBefore, F25LvmaxDegBefore, F25LvmaxLenAfter, F25LvmaxDegAfter,   F7919LvTime, F7919LvMemory, F7919LvTrials, F7919LvTimeA, F7919LvMemoryA,  F7919LvTimeB, F7919LvMemory, F7919LvmaxLenBefore, F7919LvmaxDegBefore, F7919LvmaxLenAfter, F7919LvmaxDegAfter, F62710561LvTime, F62710561LvMemory, F62710561LvTrials, F62710561LvTimeA, F62710561LvMemoryA, F62710561LvTimeB, F62710561LvMemory, F62710561LvmaxLenBefore, F62710561LvmaxDegBefore, F62710561LvmaxLenAfter, F62710561LvmaxDegAfter
 manifold_lex_d2_n8_o0_g1_#04,   2,         8,     21,          0,     1,     4, 1,   0.135834953,   124629760,          1, 0.002929077,      863952,    0.11293318,   118924320,                2,                2,             138,              11,    1.459004241,   369538930,         11, 0.011783676,    14476176,    0.254601132,   276427050,                2,                2,             130,              11,               ,            ,           ,            ,            ,               ,            ,                 ,                 ,                ,                ,   1.504412214,   362540936,         11, 0.013120344,    14476240,   0.280971775,   269428992,                2,                2,             138,              11,              ,            ,           ,            ,            ,              ,            ,                 ,                 ,                ,                ,   1.419026714,   248076530,          4, 0.011059703,    14476144,   0.268698076,   154964682,                2,                2,             138,              11,              ,            ,            ,            ,             ,              ,            ,                  ,                  ,                 ,                 ,   1.359446302,     217059120,             1,  0.011136458,       14476080,   0.126391891,     123947336,                   2,                   2,                138,                 11,                ,                  ,                  ,                 ,                   ,                 ,                  ,                        ,                        ,                       ,                       
 manifold_lex_d2_n8_o0_g1_#04,   2,         8,     14,          0,     1,     4, 2,   2.413257517,  2619565672,          1, 0.006841769,     1458296,   2.387399448,  2613265888,                6,                3,           13445,              20,    1.212127348,   108343576,       >100, 0.017659273,    23145136,    0.045543762,     6562528,              n/a,              n/a,             n/a,             n/a,   11.879868185,  7486831282,          5, 1.042647276,   360167672,    9.610455732,  7047933546,                6,                3,           10506,              20,  14.715578814,  7713070930,       >100, 0.015190417,    23144976,  13.618903296,  7611290042,                6,                3,           12859,              20,  12.938185021,  6787780164,          1,  0.99713731,   361856704,  10.718382901,  6347193396,                6,                3,           12859,              20,   9.262112414,  3786416152,         13, 0.014929528,    23144976,   8.169351598,  3684635472,                6,                3,           13435,              20,  10.751487834,  4125693560,           1, 0.929555444,    362706568,   8.613772641,  3684256928,                 6,                 3,            13435,               20,   3.587753603,    2860029692,             1,    0.0158192,       23144880,   2.478877293,    2758249108,                   6,                   3,              13445,                 20,     5.090866456,        3524059068,                 1,      1.440929517,          687296744,      2.494712416,        2758032260,                       6,                       3,                  13445,                     20
 manifold_lex_d2_n8_o0_g1_#05,   2,         8,      8,          0,     1,     5, 0,   0.072037419,    13524048,          1, 0.000550573,      199416,   0.053516342,     8483144,              n/a,              n/a,             n/a,             n/a,    1.176357833,    89287784,          1,  0.00239356,     2174480,    0.056935696,     8477600,              n/a,              n/a,             n/a,             n/a,               ,            ,           ,            ,            ,               ,            ,                 ,                 ,                ,                ,   1.209426843,    89287784,          1, 0.002318188,     2174480,   0.057545199,     8477600,              n/a,              n/a,             n/a,             n/a,              ,            ,           ,            ,            ,              ,            ,                 ,                 ,                ,                ,   1.198755063,    89287784,          1, 0.002334851,     2174480,   0.056657353,     8477600,              n/a,              n/a,             n/a,             n/a,              ,            ,            ,            ,             ,              ,            ,                  ,                  ,                 ,                 ,   1.203859862,      89287784,             1,   0.00238282,        2174480,   0.057350109,       8477600,                 n/a,                 n/a,                n/a,                n/a,                ,                  ,                  ,                 ,                   ,                 ,                  ,                        ,                        ,                       ,                       
 manifold_lex_d2_n8_o0_g1_#05,   2,         8,     21,          0,     1,     5, 1,   0.089096645,    14563448,          1, 0.003437949,      920080,   0.065192532,     8801880,              n/a,              n/a,             n/a,             n/a,    1.332456609,   102301896,         22, 0.100339527,    14869856,    0.058270436,     8796336,              n/a,              n/a,             n/a,             n/a,               ,            ,           ,            ,            ,               ,            ,                 ,                 ,                ,                ,   1.372795986,   102237336,          4, 0.009849817,    14476144,   0.057177766,     8796336,              n/a,              n/a,             n/a,             n/a,              ,            ,           ,            ,            ,              ,            ,                 ,                 ,                ,                ,    1.16831052,   101908120,          1, 0.009038356,    14476080,   0.057995433,     8796336,              n/a,              n/a,             n/a,             n/a,              ,            ,            ,            ,             ,              ,            ,                  ,                  ,                 ,                 ,   1.207662567,     101908120,             1,  0.010635734,       14476080,   0.059761496,       8796336,                 n/a,                 n/a,                n/a,                n/a,                ,                  ,                  ,                 ,                   ,                 ,                  ,                        ,                        ,                       ,                       
 manifold_lex_d2_n8_o0_g1_#05,   2,         8,     14,          0,     1,     5, 2,   0.086526039,    14934752,          1, 0.006821056,     1451288,    0.05941708,     8641976,              n/a,              n/a,             n/a,             n/a,    8.673108771,  7231441540,         26, 0.016567501,    23145008,     7.51097573,  7129660828,                6,                3,            7952,              18,    9.616689949,  7568278180,          2, 1.031345798,   359936680,    7.398703747,  7129611436,                6,                3,            7952,              18,   1.236209909,   110746328,         15, 0.015846743,    23145040,   0.055516777,     8636432,              n/a,              n/a,             n/a,             n/a,    2.25815184,   448971440,          1, 0.988938203,   361589840,   0.056238858,     8651536,              n/a,              n/a,             n/a,             n/a,    1.21133171,   110417016,          1, 0.016852391,    23144880,   0.057120786,     8636432,              n/a,              n/a,             n/a,             n/a,   2.384396987,   449796152,           1, 1.128368483,    362414552,   0.057162691,     8651536,               n/a,               n/a,              n/a,              n/a,   1.232488437,     110417016,             1,  0.016189748,       23144880,   0.056770328,       8636432,                 n/a,                 n/a,                n/a,                n/a,     2.787108162,         773430792,                 1,      1.500167635,          686049192,      0.055454257,           8651536,                     n/a,                     n/a,                    n/a,                    n/a
 manifold_lex_d2_n8_o0_g1_#06,   2,         8,      8,          0,     1,     6, 0,     0.1563407,    13853200,          1, 0.000735049,      199416,   0.055945494,     8483144,              n/a,              n/a,             n/a,             n/a,    1.238084464,    89287784,          1,  0.00239825,     2174480,    0.058057015,     8477600,              n/a,              n/a,             n/a,             n/a,               ,            ,           ,            ,            ,               ,            ,                 ,                 ,                ,                ,   1.227219548,    89287784,          1, 0.002399111,     2174480,   0.057455798,     8477600,              n/a,              n/a,             n/a,             n/a,              ,            ,           ,            ,            ,              ,            ,                 ,                 ,                ,                ,   1.201497244,    89287784,          1, 0.002178668,     2174480,   0.057789474,     8477600,              n/a,              n/a,             n/a,             n/a,              ,            ,            ,            ,             ,              ,            ,                  ,                  ,                 ,                 ,   1.244739186,      89287784,             1,  0.002488561,        2174480,   0.059561019,       8477600,                 n/a,                 n/a,                n/a,                n/a,                ,                  ,                  ,                 ,                   ,                 ,                  ,                        ,                        ,                       ,                       
 manifold_lex_d2_n8_o0_g1_#06,   2,         8,     21,          0,     1,     6, 1,   0.084785433,    14593744,          1,  0.00370415,      950376,   0.061760451,     8801880,              n/a,              n/a,             n/a,             n/a,    1.385964038,   102301864,         12, 0.102548373,    14869824,    0.059532772,     8796336,              n/a,              n/a,             n/a,             n/a,               ,            ,           ,            ,            ,               ,            ,                 ,                 ,                ,                ,   1.403769787,   102237432,          9, 0.013781428,    14476240,   0.064091856,     8796336,              n/a,              n/a,             n/a,             n/a,              ,            ,           ,            ,            ,              ,            ,                 ,                 ,                ,                ,   1.212235087,   101908120,          1, 0.010153337,    14476080,   0.058890818,     8796336,              n/a,              n/a,             n/a,             n/a,              ,            ,            ,            ,             ,              ,            ,                  ,                  ,                 ,                 ,   1.259617815,     101908120,             1,  0.012823728,       14476080,   0.064075554,       8796336,                 n/a,                 n/a,                n/a,                n/a,                ,                  ,                  ,                 ,                   ,                 ,                  ,                        ,                        ,                       ,                       
 manifold_lex_d2_n8_o0_g1_#06,   2,         8,     14,          0,     1,     6, 2,    0.09358411,    14959216,          1, 0.007070325,     1475752,   0.066406387,     8641976,              n/a,              n/a,             n/a,             n/a,   10.618757266,  6542500622,         75, 0.017754266,    23145040,    9.390349972,  6440719878,                6,                3,            8256,              19,   11.700360399,  6879519430,          2, 0.955512479,   360118880,    9.491970395,  6440670486,                6,                3,            8256,              19,   1.143982405,   110417176,         54, 0.014479539,    23145040,   0.059283499,     8636432,              n/a,              n/a,             n/a,             n/a,   2.210616395,   449187720,         12, 0.936120756,   361806120,   0.056539805,     8651536,              n/a,              n/a,             n/a,             n/a,   1.214068785,   110417016,          1, 0.016300988,    23144880,   0.056849551,     8636432,              n/a,              n/a,             n/a,             n/a,   2.445467628,   450020840,           1, 1.203106631,    362639240,   0.055781622,     8651536,               n/a,               n/a,              n/a,              n/a,   1.206865016,     110417016,             1,  0.016858942,       23144880,   0.056674437,       8636432,                 n/a,                 n/a,                n/a,                n/a,     2.762572681,         775564032,                 1,      1.515163635,          688182432,      0.058197648,           8651536,                     n/a,                     n/a,                    n/a,                    n/a
 manifold_lex_d2_n8_o0_g1_#07,   2,         8,      8,          0,     1,     7, 0,   0.071247991,    13524048,          1, 0.000643026,      199416,   0.052713314,     8483144,              n/a,              n/a,             n/a,             n/a,    1.229572451,    89287784,          1,  0.00283541,     2174480,    0.059831942,     8477600,              n/a,              n/a,             n/a,             n/a,               ,            ,           ,            ,            ,               ,            ,                 ,                 ,                ,                ,   1.225267282,    89287784,          1, 0.002822155,     2174480,    0.05931911,     8477600,              n/a,              n/a,             n/a,             n/a,              ,            ,           ,            ,            ,              ,            ,                 ,                 ,                ,                ,    1.29519121,    89616936,          1, 0.002313711,     2174480,   0.058997907,     8477600,              n/a,              n/a,             n/a,             n/a,              ,            ,            ,            ,             ,              ,            ,                  ,                  ,                 ,                 ,   1.231319999,      89287784,             1,   0.00245156,        2174480,   0.059210287,       8477600,                 n/a,                 n/a,                n/a,                n/a,                ,                  ,                  ,                 ,                   ,                 ,                  ,                        ,                        ,                       ,                       
 manifold_lex_d2_n8_o0_g1_#07,   2,         8,     21,          0,     1,     7, 1,   0.083990748,    14556208,          1, 0.003157763,      912840,   0.062132661,     8801880,              n/a,              n/a,             n/a,             n/a,    1.224028547,   101908248,         12, 0.010798339,    14476208,    0.059135251,     8796336,              n/a,              n/a,             n/a,             n/a,               ,            ,           ,            ,            ,               ,            ,                 ,                 ,                ,                ,   1.227292387,   101908248,          9, 0.011183983,    14476208,   0.060570803,     8796336,              n/a,              n/a,             n/a,             n/a,              ,            ,           ,            ,            ,              ,            ,                 ,                 ,                ,                ,   1.224427803,   101908152,          2, 0.010530607,    14476112,   0.058440896,     8796336,              n/a,              n/a,             n/a,             n/a,              ,            ,            ,            ,             ,              ,            ,                  ,                  ,                 ,                 ,   1.323686054,     102237272,             1,   0.01128277,       14476080,   0.060496353,       8796336,                 n/a,                 n/a,                n/a,                n/a,                ,                  ,                  ,                 ,                   ,                 ,                  ,                        ,                        ,                       ,                       
